source,title,content,url,publishTime,Location
CNN International,"Coronavirus cases top 80,000 as markets plunge on pandemic fears","Hong Kong (CNN) Multiple outbreaks of the novel coronavirus outside of mainland China have continued to worsen, as experts warn we may...",https://www.cnn.com/2020/02/25/asia/novel-coronavirus-covid-19-update-intl-hnk/index.html,3 days ago,Wuhan
CNN International,Novel coronavirus sparks massive US stock market losses as cases spread worldwide,Hong Kong (CNN) Stock markets in the US have posted some of their worst ever losses as the novel coronavirus sparked mass sell-offs.,https://www.cnn.com/2020/02/27/asia/novel-coronavirus-covid-19-update-intl-hnk/index.html,8 hours ago,Wuhan
CNBC,"US confirms new coronavirus case, Germany says it's at the beginning of an epidemic",Moody's cited the COVID-19 epidemic as well as stricter emissions ... three patients were infected in Wuhan and later evacuated to the U.S. and the rest ... scare to buy more stocks because he thinks the coronavirus will have...,https://www.cnbc.com/2020/02/26/coronavirus-latest-updates.html,2 days ago,Wuhan
Financial Times,Coronavirus: California monitoring 8400 people for Covid-19,"The challenges of treating Covid-19 have been shown again by the relapse of a ... cases of coronavirus, all of whom were students returned from Wuhan. ... Asian stocks and Wall Street futures fell after US health authorities...",https://www.ft.com/content/d59c359d-45e3-3801-8b4b-48708ff5fe83,20 hours ago,Wuhan
The Guardian,"Coronavirus: risk of spread and impact now 'very high at global level', warns WHO – latest updates","Cases of Covid-19 have now been confirmed in 58 countries. ... Stocks are falling sharply in New York, as the coronavirus market rout...",https://www.theguardian.com/world/live/2020/feb/28/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,49 mins ago,Wuhan
CNBC,"Stocks fall after Apple's coronavirus warning, analyst says 'worst is yet to come' for markets","Stocks fall after Apple's coronavirus warning, analyst says 'worst is yet ... in the city of Wuhan alone, where doctors first identified the COVID-19.",https://www.cnbc.com/2020/02/18/coronavirus-latest-updates.html,1 week ago,Wuhan
NPR,"Evacuated From Wuhan, US Man Reflects On Coronavirus Quarantine And Transition Home : Shots - Health News","The first Americans quarantined after evacuation from Wuhan, China, the ... a day to see which stores were open, and to stock up on groceries.",https://www.npr.org/sections/health-shots/2020/02/20/807867022/evacuated-for-covid-19-scare-pennsylvania-man-reflects-on-life-after-quarantine,1 week ago,Wuhan
Reuters,Partly false claim: a 1981 book predicted the coronavirus 2019 outbreak,"... describes the coronavirus in his novel have at least 39,000 shares (examples here ... In his novel, Koontz described “Wuhan-400” as “China's most important ... The symptoms described by Koontz are different to COVID-19.",https://www.reuters.com/article/uk-factcheck-coronavirus-koontz-book/partly-false-claima-1981-book-predicted-the-coronavirus-2019-outbreak-idUSKCN20M19I,9 hours ago,Wuhan
The New York Times,Stocks Slide for 2nd Day as U.S. Sounds Alarm on Coronavirus,Worried investors dumped stocks again Tuesday as American officials warned that it was only a matter of time before the coronavirus outbreak...,https://www.nytimes.com/2020/02/25/business/stock-markets-covid-19.html,3 days ago,Us
ABC News,"As stock market dives, White House defends Trump's response to the new coronavirus crisis","As the stock market on Friday continued to nosedive over COVID-19 ... despite the falling the markets, the U.S. economy remains strong and...",https://abcnews.go.com/Politics/stock-market-dives-white-house-defends-trumps-response/story%3Fid%3D69281750,51 mins ago,Us
TechCrunch,Vice President Mike Pence will lead the US response to the COVID-19 outbreak,"On Sunday, the CDC ordered COVID-19 testing of the patient and the ... the new coronavirus would impact the economy rattled stock markets...",https://techcrunch.com/2020/02/26/vice-president-mike-pence-will-lead-the-us-response-to-the-covid-19-outbreak/,1 day ago,Us
FactCheck.org,FactChecking Trump's Coronavirus Press Conference,"Facing a declining stock market and criticism from Democrats, ... Trump said the current number of COVID-19 cases in the U.S. is “going very...",https://www.factcheck.org/2020/02/factchecking-trumps-coronavirus-press-conference/,18 hours ago,Us
KGO-TV,"Coronavirus concerns: Dow falls nearly 1,200 points, stock market dives amid COVID-19 fears","... Dow falls nearly 1,200 points, stock market dives amid COVID-19 fears ... prevention, and how to prepare for a COVID-19 outbreak in the US",https://abc7news.com/finance/stock-markets-suffer-amid-coronavirus-outbreak/5972798/,12 hours ago,Us
CNBC,"Coronavirus updates: California monitoring 8,400 people, stocks continue free fall","“In light of the recent outbreak of the novel coronavirus, COVID-19, ... U.S. stocks continued their free fall in volatile trading as investors grow...",https://www.cnbc.com/2020/02/27/coronavirus-latest-updates-outbreak.html,1 day ago,Us
MarketWatch,"Consumers start to wake up to COVID-19 threat to the economy, new survey shows","Yet 20% mentioned the virus and stock declines on Monday and ... “If the virus spreads into U.S. communities, consumers are likely to limit their...",https://www.marketwatch.com/story/consumers-start-to-wake-up-to-covid-19-threat-to-the-economy-new-survey-shows-2020-02-28,2 hours ago,Us
Investor's Business Daily,Coronavirus Vaccine Hunt Sends Biotech Companies Scrambling ...,"As fears of a global Covid-19 pandemic pummel the stock market, biotech ... it sent the first batch of its vaccine to U.S. government researchers.",https://www.investors.com/news/technology/coronavirus-vaccine-hunt-sends-biotech-companies-scrambling-treat-covid-19/,1 day ago,Us
FOX 10 News Phoenix,Fears over COVID-19 coronavirus outbreak causing major stock index declines,Fears over COVID-19 coronavirus outbreak causing major stock index declines ... and businesses in the U.S. aren't going to have the earnings that we thought...,https://www.fox10phoenix.com/news/fears-over-covid-19-coronavirus-outbreak-causing-major-stock-index-declines,14 hours ago,Us
CNBC,"Coronavirus live updates: WHO says hospitals worldwide 'not ready,' Hong Kong dog tests positive","Although the majority of COVID-19 cases have been in China, officials ... U.S. stock futures pointed to more losses early Friday after the major...",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-outbreak.html,5 hours ago,Us
CNBC,"Coronavirus updates: California monitoring 8,400 people, stocks continue free fall","“In light of the recent outbreak of the novel coronavirus, COVID-19, ... Iran, which had just two cases a week ago, confirmed 245 infections as of...",https://www.cnbc.com/2020/02/27/coronavirus-latest-updates-outbreak.html,1 day ago,Iran
The Economist,"Covid-19 is now in 50 countries, and things will get worse","Iran, where the first covid-19 cases were reported two days before ... As of the morning of February 27th, stock markets had fallen by 8% in...",https://www.economist.com/briefing/2020/02/29/covid-19-is-now-in-50-countries-and-things-will-get-worse,13 mins ago,Iran
Financial Times,Coronavirus latest: WHO escalates risk assessment of Covid-19 to ...,"“The United States calls on Iran to cooperate fully and transparently with ... In an update to the London Stock Exchange, the travel group said...",https://www.ft.com/content/e0a8cf67-896e-3b0c-89ce-03e43581008d,32 mins ago,Iran
ABC News,"As stock market dives, White House defends Trump's response to the new coronavirus crisis","As the stock market on Friday continued to nosedive over COVID-19 fears, the ... to push back that the hearing was supposed to be about Iran.",https://abcnews.go.com/Politics/stock-market-dives-white-house-defends-trumps-response/story%3Fid%3D69281750,51 mins ago,Iran
WPVI-TV,"As stock market dives, White House officials defend Trump's ...","As the stock market on Friday continued to nosedive over COVID-19 fears, ... COVID-19 outbreak, Pompeo said the U.S. has reached out to Iran...",https://6abc.com/as-stock-market-dives-white-house-officials-defend-trumps-response-to-covid-19-/5973688/,2 hours ago,Iran
USA TODAY,Trump addressed the nation on coronavirus. We checked the facts.,"... Italy and Iran, the U.S. Centers for Disease Control and Prevention ... Trump compared the small number of COVID-19 cases in the U.S. to ... the stock market as U.S. stocks slumped for a fifth straight session on Wednesday.",https://www.usatoday.com/story/news/nation/2020/02/26/coronavirus-trump-addresses-nation-amid-first-case-community-spread/4883728002/,1 day ago,Iran
CNBC,"Coronavirus: New Zealand, Nigeria report first cases, China's death toll over 2,700",Iran's health minister has said all schools in the country will close from Saturday ... New Zealand and Nigeria all confirmed their first cases of COVID-19 on ... A surge in coronavirus cases outside China has sent stock markets...,https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-china-hubei-south-korea.html,19 hours ago,Iran
The New York Times,"Cases Soar in Italy, Iran and South Korea as Alarm Grows","Around the world, the new illness, dubbed COVID-19, stirred fears that ... The last time stocks in the United States fell more than 10 percent was...",https://www.nytimes.com/2020/02/27/world/coronavirus-news.html,1 day ago,Iran
Financial Times,Coronavirus: US travel groups forecast hit from outbreak – as it ...,"Stocks in Asia-Pacific dropped on Wednesday morning, following on from a ... A global recession is likely if COVID-19 becomes a pandemic, and the odds ... of infections from those returning from neighbouring Iran rises to 11.",https://www.ft.com/content/ac625338-6f2c-359e-933c-b0457b572fa1,1 day ago,Iran
CNBC,"WHO calls Iran and Italy cases 'deeply concerning,' Goldman cuts GDP forecast","Stocks fell sharply as the number of cases outside China surged, stoking ... COVID-19 cases in China appears to have plateaued, according to...",https://www.cnbc.com/2020/02/24/coronavirus-latest-updates.html,4 days ago,Iran
CNBC,"Coronavirus: New Zealand, Nigeria report first cases, China's death toll over 2,700","South Korea reported 571 cases of the coronavirus on Friday, Yonhap ... New Zealand and Nigeria all confirmed their first cases of COVID-19 on ... A surge in coronavirus cases outside China has sent stock markets across...",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-china-hubei-south-korea.html,19 hours ago,South korea
The Economist,"Covid-19 is now in 50 countries, and things will get worse","Recent cases of covid-19 in Bahrain, Kuwait, Iraq, Lebanon and Pakistan ... The spread of the disease to South Korea, Iran and Italy caused a massive ... As of the morning of February 27th, stock markets had fallen by 8% in...",https://www.economist.com/briefing/2020/02/29/covid-19-is-now-in-50-countries-and-things-will-get-worse,14 mins ago,South korea
CNBC,"Coronavirus updates: California monitoring 8,400 people, stocks continue free fall","Stocks fell sharply in volatile trading as investors worried the ... “In light of the recent outbreak of the novel coronavirus, COVID-19, Goldman Sachs has ... South Korea confirmed 505 new cases of the coronavirus on Thursday,...",https://www.cnbc.com/2020/02/27/coronavirus-latest-updates-outbreak.html,1 day ago,South korea
CBC.ca,COVID-19 outbreak: Here's what's happening around the world Friday,"South Korea reported 315 more virus cases, bringing its increase for the ... Stock markets plunged further Friday amid spreading virus fears,...",https://www.cbc.ca/news/world/coronavirus-covid-19-feb-28-1.5479265,1 hour ago,South korea
CNBC,"Coronavirus live updates: WHO says hospitals worldwide 'not ready,' Hong Kong dog tests positive","Although the majority of COVID-19 cases have been in China, officials ... Siegel, speaking on CNBC's “Squawk on the Street” as the stock ... South Korea has more cases of coronavirus outside of China than any other country.",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-outbreak.html,5 hours ago,South korea
Globalnews.ca,"BTS cancels South Korea concerts as country’s COVID-19 cases rise to 2,022","The sharp increase in daily tally over the past week led to a slump in South Korean stocks on Friday, setting them on course for the worst...",https://globalnews.ca/news/6607229/bts-south-korea-coronavirus/,15 hours ago,South korea
The New York Times,U.S. Soldier Tests Positive for Virus in South Korea,An American soldier in South Korea has tested positive for the new ... control measures to help control the spread of Covid-19 and remains at risk level ... Investors continued to dump stocks a day after the S&P 500 had lost 3.4...,https://www.nytimes.com/2020/02/25/world/asia/coronavirus-news.html,3 days ago,South korea
The New York Times,Stocks Slide for 2nd Day as U.S. Sounds Alarm on Coronavirus,"A day after its worst one-day slide in two years, the S&P 500 closed ... with the S&P 500 falling 3.4 percent after officials in Italy and South Korea...",https://www.nytimes.com/2020/02/25/business/stock-markets-covid-19.html,3 days ago,South korea
FXStreet,Asian stocks declines as South Korea bears the burden of COVID-19,"Despite receding coronavirus (COVID-19) numbers from China, Asian share markets aren't happy as cases from South Korea continue to flash...",https://www.fxstreet.com/news/asian-stocks-declines-as-south-korea-bears-the-burden-of-covid-19-202002260614,2 days ago,South korea
Investor's Business Daily,Coronavirus Vaccine Hunt Sends Biotech Companies Scrambling ...,"The Covid-19 virus has infected nearly 83,000 people and killed more than ... Over the prior weekend, Italy, Iran and South Korea reported a...",https://www.investors.com/news/technology/coronavirus-vaccine-hunt-sends-biotech-companies-scrambling-treat-covid-19/,1 day ago,South korea
