country,region,confirmed_infected,dead,timestamp,recovered
Spain,Asturias,193,1,2020-03-17,
Spain,Baleares,92,1,2020-03-17,
Spain,Canarias,148,2,2020-03-17,
Spain,Cantabria,58,0,2020-03-17,
Spain,Castilla-La Mancha,567,17,2020-03-17,
Spain,Castilla y León,431,12,2020-03-17,
Spain,Cataluña,1394,18,2020-03-17,
Spain,Ceuta,1,0,2020-03-17,
Spain,C. Valenciana,541,13,2020-03-17,
Spain,Extremadura,153,3,2020-03-17,
Spain,Galicia,292,3,2020-03-17,
Spain,Madrid,4871,355,2020-03-17,
Spain,Melilla,17,0,2020-03-17,
Spain,Murcia,97,0,2020-03-17,
Spain,Navarra,313,2,2020-03-17,
Spain,País Vasco,765,36,2020-03-17,
Spain,La Rioja,355,5,2020-03-17,
Spain,Total,11178,491,2020-03-17,
Spain,Andalucía,859,19,2020-03-18,
Spain,Aragón,226,13,2020-03-18,
Spain,Asturias,242,1,2020-03-18,
Spain,Baleares,112,1,2020-03-18,
Spain,Canarias,181,3,2020-03-18,
Spain,Cantabria,68,1,2020-03-18,
Spain,Castilla-La Mancha,675,28,2020-03-18,
Spain,Castilla y León,668,22,2020-03-18,
Spain,Cataluña,1866,41,2020-03-18,
Spain,Ceuta,1,0,2020-03-18,
Spain,C. Valenciana,726,22,2020-03-18,
Spain,Extremadura,194,6,2020-03-18,
Spain,Galicia,341,3,2020-03-18,
Spain,Madrid,5637,390,2020-03-18,
Spain,Melilla,20,0,2020-03-18,
Spain,Murcia,122,0,2020-03-18,
Spain,Navarra,386,3,2020-03-18,
Spain,País Vasco,973,40,2020-03-18,
Spain,La Rioja,419,5,2020-03-18,
Spain,Total,13716,598,2020-03-18,
Spain,Andalucía,1008,23,2020-03-19,
Spain,Aragón,281,15,2020-03-19,
Spain,Asturias,292,1,2020-03-19,
Spain,Baleares,169,2,2020-03-19,
Spain,Canarias,220,3,2020-03-19,
Spain,Cantabria,83,1,2020-03-19,
Spain,Castilla-La Mancha,801,42,2020-03-19,
Spain,Castilla y León,868,29,2020-03-19,
Spain,Cataluña,2702,55,2020-03-19,
Spain,Ceuta,1,0,2020-03-19,
Spain,C. Valenciana,921,24,2020-03-19,
Spain,Extremadura,241,8,2020-03-19,
Spain,Galicia,453,4,2020-03-19,
Spain,Madrid,6777,498,2020-03-19,
Spain,Melilla,23,0,2020-03-19,
Spain,Murcia,167,0,2020-03-19,
Spain,Navarra,482,4,2020-03-19,
Spain,País Vasco,119,53,2020-03-19,
Spain,La Rioja,468,5,2020-03-19,
Spain,Total,17147,767,2020-03-19,
Spain,Andalucía,1008,23,2020-03-19,
Spain,Aragón,281,15,2020-03-19,
Spain,Asturias,292,1,2020-03-19,
Spain,Baleares,169,2,2020-03-19,
Spain,Canarias,220,3,2020-03-19,
Spain,Cantabria,83,1,2020-03-19,
Spain,Castilla-La Mancha,801,42,2020-03-19,
Spain,Castilla y León,868,29,2020-03-19,
Spain,Cataluña,2702,55,2020-03-19,
Spain,Ceuta,1,0,2020-03-19,
Spain,C. Valenciana,921,24,2020-03-19,
Spain,Extremadura,241,8,2020-03-19,
Spain,Galicia,453,4,2020-03-19,
Spain,Madrid,6777,498,2020-03-19,
Spain,Melilla,23,0,2020-03-19,
Spain,Murcia,167,0,2020-03-19,
Spain,Navarra,482,4,2020-03-19,
Spain,País Vasco,119,53,2020-03-19,
Spain,La Rioja,468,5,2020-03-19,
Spain,Total,17147,767,2020-03-19,
Spain,Andalucía,1287,30,2020-03-20,
Spain,Aragón,360,17,2020-03-20,
Spain,Asturias,344,2,2020-03-20,
Spain,Baleares,203,2,2020-03-20,
Spain,Canarias,287,4,2020-03-20,
Spain,Cantabria,144,1,2020-03-20,
Spain,Castilla-La Mancha,1044,62,2020-03-20,
Spain,Castilla y León,1147,43,2020-03-20,
Spain,Cataluña,327,82,2020-03-20,
Spain,Ceuta,5,0,2020-03-20,
Spain,C. Valenciana,1105,33,2020-03-20,
Spain,Extremadura,297,10,2020-03-20,
Spain,Galicia,578,5,2020-03-20,
Spain,Madrid,7165,628,2020-03-20,
Spain,Melilla,24,0,2020-03-20,
Spain,Murcia,204,0,2020-03-20,
Spain,Navarra,554,5,2020-03-20,
Spain,País Vasco,1465,71,2020-03-20,
Spain,La Rioja,497,7,2020-03-20,
Spain,Total,1998,1002,2020-03-20,
Spain,Andalucía,1725,47,2020-03-21,
Spain,Aragón,532,24,2020-03-21,
Spain,Asturias,545,8,2020-03-21,
Spain,Baleares,331,4,2020-03-21,
Spain,Canarias,414,9,2020-03-21,
Spain,Cantabria,282,5,2020-03-21,
Spain,Castilla La Mancha,1819,112,2020-03-21,
Spain,Castilla y León,1744,74,2020-03-21,
Spain,Cataluña,4704,191,2020-03-21,
Spain,Ceuta,5,0,2020-03-21,
Spain,C. Valenciana,1604,69,2020-03-21,
Spain,Extremadura,384,14,2020-03-21,
Spain,Galicia,915,12,2020-03-21,
Spain,Madrid,9702,1021,2020-03-21,
Spain,Melilla,25,0,2020-03-21,
Spain,Murcia,296,1,2020-03-21,
Spain,Navarra,794,14,2020-03-21,
Spain,País Vasco,2097,97,2020-03-21,
Spain,La Rioja,654,18,2020-03-21,
Spain,ESPAÑA,28572,172,2020-03-21,
Spain,Andalucía,1961,58,2020-03-23,
Spain,Aragón,638,32,2020-03-23,
Spain,Asturias,594,12,2020-03-23,
Spain,Baleares,400,10,2020-03-23,
Spain,Canarias,481,11,2020-03-23,
Spain,Cantabria,347,6,2020-03-23,
Spain,Castilla La Mancha,2078,145,2020-03-23,
Spain,Castilla y León,2055,102,2020-03-23,
Spain,Cataluña,5925,245,2020-03-23,
Spain,Ceuta,6,0,2020-03-23,
Spain,C. Valenciana,1901,94,2020-03-23,
Spain,Extremadura,493,18,2020-03-23,
Spain,Galicia,1208,18,2020-03-23,
Spain,Madrid,10575,1263,2020-03-23,
Spain,Melilla,28,0,2020-03-23,
Spain,Murcia,345,2,2020-03-23,
Spain,Navarra,886,24,2020-03-23,
Spain,País Vasco,2421,120,2020-03-23,
Spain,La Rioja,747,22,2020-03-23,
Spain,ESPAÑA,33089,2182,2020-03-23,
Spain,Andalucía,2471,87,2020-03-24,
Spain,Aragón,758,37,2020-03-24,
Spain,Asturias,662,22,2020-03-24,
Spain,Baleares,478,10,2020-03-24,
Spain,Canarias,557,16,2020-03-24,
Spain,Cantabria,425,9,2020-03-24,
Spain,Castilla La Mancha,2465,216,2020-03-24,
Spain,Castilla y León,246,124,2020-03-24,
Spain,Cataluña,7864,282,2020-03-24,
Spain,Ceuta,6,0,2020-03-24,
Spain,C. Valenciana,2167,115,2020-03-24,
Spain,Extremadura,636,26,2020-03-24,
Spain,Galicia,1415,20,2020-03-24,
Spain,Madrid,12352,1535,2020-03-24,
Spain,Melilla,28,0,2020-03-24,
Spain,Murcia,385,3,2020-03-24,
Spain,Navarra,1014,31,2020-03-24,
Spain,País Vasco,2728,133,2020-03-24,
Spain,La Rioja,802,30,2020-03-24,
Spain,ESPAÑA,39673,2696,2020-03-24,
Spain,Andalucía,301,113,2020-03-25,71
Spain,Aragón,907,40,2020-03-25,4
Spain,Asturias,779,25,2020-03-25,35
Spain,Baleares,562,13,2020-03-25,28
Spain,Canarias,657,21,2020-03-25,15
Spain,Cantabria,510,14,2020-03-25,12
Spain,Castilla La Mancha,278,263,2020-03-25,71
Spain,Castilla y León,294,165,2020-03-25,213
Spain,Cataluña,9937,516,2020-03-25,1274
Spain,Ceuta,9,0,2020-03-25,0
Spain,C. Valenciana,2616,143,2020-03-25,44
Spain,Extremadura,742,39,2020-03-25,8
Spain,Galicia,1653,27,2020-03-25,25
Spain,Madrid,14597,1825,2020-03-25,3031
Spain,Melilla,38,0,2020-03-25,0
Spain,Murcia,477,5,2020-03-25,4
Spain,Navarra,1197,33,2020-03-25,23
Spain,País Vasco,3271,155,2020-03-25,466
Spain,La Rioja,928,37,2020-03-25,43
Spain,ESPAÑA,4761,3434,2020-03-25,5367
Spain,Andalucía,3406,134,2020-03-26,77
Spain,Aragón,1116,48,2020-03-26,4
Spain,Asturias,841,27,2020-03-26,40
Spain,Baleares,660,17,2020-03-26,39
Spain,Canarias,784,24,2020-03-26,18
Spain,Cantabria,671,17,2020-03-26,14
Spain,Castilla La Mancha,3383,316,2020-03-26,95
Spain,Castilla y León,3488,206,2020-03-26,308
Spain,Cataluña,11592,672,2020-03-26,1697
Spain,Ceuta,10,0,2020-03-26,0
Spain,C. Valenciana,32,167,2020-03-26,57
Spain,Extremadura,969,58,2020-03-26,24
Spain,Galicia,1915,32,2020-03-26,47
Spain,Madrid,17166,209,2020-03-26,3882
Spain,Melilla,39,1,2020-03-26,0
Spain,Murcia,596,8,2020-03-26,9
Spain,Navarra,1411,49,2020-03-26,35
Spain,País Vasco,3946,180,2020-03-26,621
Spain,La Rioja,995,43,2020-03-26,48
Spain,ESPAÑA,56188,4089,2020-03-26,7015
Spain,Andalucía,3793,144,2020-03-27,92
Spain,Aragón,1338,58,2020-03-27,8
Spain,Asturias,900,29,2020-03-27,52
Spain,Baleares,755,22,2020-03-27,67
Spain,Canarias,878,27,2020-03-27,20
Spain,Cantabria,810,21,2020-03-27,19
Spain,Castilla La Mancha,3934,367,2020-03-27,153
Spain,Castilla y León,4132,252,2020-03-27,423
Spain,Cataluña,1294,880,2020-03-27,2348
Spain,Ceuta,17,0,2020-03-27,0
Spain,C. Valenciana,3532,198,2020-03-27,73
Spain,Extremadura,1231,69,2020-03-27,33
Spain,Galicia,2322,43,2020-03-27,67
Spain,Madrid,19243,2412,2020-03-27,5044
Spain,Melilla,42,1,2020-03-27,0
Spain,Murcia,714,15,2020-03-27,12
Spain,Navarra,1641,58,2020-03-27,70
Spain,País Vasco,4601,207,2020-03-27,814
Spain,La Rioja,1236,55,2020-03-27,62
Spain,ESPAÑA,64059,4858,2020-03-27,9357
Spain,Andalucía,4277,175,2020-03-28,139
Spain,Aragón,1592,58,2020-03-28,8
Spain,Asturias,1004,33,2020-03-28,65
Spain,Baleares,862,26,2020-03-28,80
Spain,Canarias,1025,36,2020-03-28,25
Spain,Cantabria,937,22,2020-03-28,21
Spain,Castilla La Mancha,4512,448,2020-03-28,197
Spain,Castilla y León,4791,321,2020-03-28,585
Spain,Cataluña,14263,1070,2020-03-28,3106
Spain,Ceuta,17,1,2020-03-28,0
Spain,C. Valenciana,4034,234,2020-03-28,92
Spain,Extremadura,1394,88,2020-03-28,49
Spain,Galicia,2772,47,2020-03-28,95
Spain,Madrid,21520,2757,2020-03-28,6326
Spain,Melilla,45,1,2020-03-28,0
Spain,Murcia,802,17,2020-03-28,12
Spain,Navarra,1829,70,2020-03-28,98
Spain,País Vasco,5136,221,2020-03-28,1023
Spain,La Rioja,1436,65,2020-03-28,364
Spain,ESPAÑA,72248,5690,2020-03-28,12285
Spain,Andalucía,4682,207,2020-03-29,148
Spain,Aragón,1858,93,2020-03-29,8
Spain,Asturias,1088,41,2020-03-29,76
Spain,Baleares,958,29,2020-03-29,82
Spain,Canarias,1125,39,2020-03-29,30
Spain,Cantabria,1023,26,2020-03-29,25
Spain,Castilla La Mancha,5246,539,2020-03-29,236
Spain,Castilla y León,5414,380,2020-03-29,752
Spain,Cataluña,15026,1226,2020-03-29,3455
Spain,Ceuta,21,1,2020-03-29,0
Spain,C. Valenciana,4784,267,2020-03-29,161
Spain,Extremadura,1456,100,2020-03-29,51
Spain,Galicia,3139,60,2020-03-29,153
Spain,Madrid,22677,3082,2020-03-29,7491
Spain,Melilla,48,1,2020-03-29,0
Spain,Murcia,872,20,2020-03-29,16
Spain,Navarra,2011,84,2020-03-29,125
Spain,País Vasco,5740,265,2020-03-29,1503
Spain,La Rioja,1629,68,2020-03-29,397
Spain,ESPAÑA,78797,6528,2020-03-29,14709
